"track","iteration","area","problem","hypothesis","action","status","validation","result","next_step","owner","last_updated"
"normalize-mainline","I001","strategy","翻译层之前对非正文块写了太多 if，主线被噪音干扰","保留排版翻译的前提下，先只处理正文，非正文先留在 document.v1，不进入翻译主链","统一新主线：正文优先，非正文不作为当前翻译候选","done","已完成主线方向确认，并据此调整后续实现","策略已固定：先把正文做稳，再逐步补非正文语义","继续把过滤前移到抽取层和 normalize 层","wxyhgk","2026-04-16"
"normalize-mainline","I002","translation-extractor","caption/header/footnote 进入翻译 payload，迫使 policy 层继续分流","如果 extract_text_items 只输出 body/abstract/heading，就能减少大量翻译层条件分支","修改 translation/ocr/json_extractor.py，仅抽取 primary body-like text blocks","done","pytest devtools/tests/translation/test_provider_continuation.py -q；pytest devtools/tests/translation/test_book_translation_policies.py -q","已验证正文和 heading 继续进入翻译，caption/header 不再进入翻译 items","继续观察是否仍有 ref_text 类异常正文被过早过滤","wxyhgk","2026-04-16"
"normalize-mainline","I003","translation-policy","默认翻译策略过去默认放开 text，靠后续 heuristics 再拦截，状态复杂","把默认策略改成结构白名单，只放正文系 text，可显著减少后续 mixed/metadata 干预","修改 payload/translations.py 与 payload/parts/policy_mutations.py，默认只放行 body/abstract/heading；title/table/code/image 默认跳过","done","pytest devtools/tests/translation/test_book_translation_policies.py -q；pytest devtools/tests/translation/test_translation_fast_paths.py -q","新模板和旧模板 reset 后都统一走正文白名单","继续清理已不再必要的 metadata/mixed 规则","wxyhgk","2026-04-16"
"normalize-mainline","I004","ref-text-exception","某些 OCR 打坏的正文段会以 ref_text 形态出现，若最前面就 skip_text 会误杀","ref_text 需要先保留进入 ref_text 专项判断，再决定是真参考文献还是正文误伤","把 ref_text 提升为基础层特例，不在 default flags 阶段直接跳过","done","pytest devtools/tests/translation/test_book_translation_policies.py -q","编号型正文摘要仍可保留翻译，真正参考文献仍会 skip","后续考虑把 ref_text 的语义来源进一步前移到 normalize","wxyhgk","2026-04-16"
"normalize-mainline","I005","paddle-normalize","Paddle 原始块过粗，跨栏吸收后即使修正文案，document.v1 行密度仍偏粗，影响后续链路","若在 Paddle adapter 内重建 pseudo-lines，并在正文子类型上收紧 bbox，可让 document.v1 更接近真实正文密度","在 provider_adapters/paddle/content_extract.py 上重建正文 pseudo-lines，并对 body/abstract/heading 启用 tighten_text_bbox","done","对 job 20260416111348-9141bd 检查 document.v1 行密度；相关 adapter 测试已补","page 1 问题块的每行高度已收敛到约 12pt，明显接近 MinerU 风格","继续用更多双栏书和表格页验证 normalize 稳定性","wxyhgk","2026-04-16"
"normalize-mainline","I006","paddle-cross-column","Paddle 会把跨栏正文吸到单个 block，另一侧只剩空 bbox，渲染和翻译都会错位","应在 normalize 前段先修复正文 block_content 的归属，而不是到渲染前再补锅","实现 body_repair.py，对双栏正文页的 absorber/peer 做文本拆分回填","doing","现有 page_spec 定向测试已通过；实书仍需扩大回归","第一页等局部页面已改善，但整书还要继续试错","继续围绕真实 PDF 扩充失败样本，并把结论追加到本 CSV","wxyhgk","2026-04-16"
"normalize-mainline","I007","document-v1-contract","我们当前最缺的是稳定试错台账，问题会反复出现却没有沉淀","把 2026-04-16 当天的试错记录收进 doc/260416.csv，可作为持续迭代索引","建立 doc/260416.csv 并登记每轮问题/假设/动作/验证/结果","done","文件已创建并纳入 doc/README.md 入口","今日试错开始沉淀到统一 CSV，不再散落在聊天和临时备注里","后续每轮继续追加新 iteration，不覆盖旧记录","wxyhgk","2026-04-16"
"normalize-mainline","I008","body-only-regression","正文优先抽取改完后，空 sub_type 的规范化正文块会被误杀，且 regression_check 仍沿用旧的 caption 抽取预期","正文抽取应兼容空 sub_type 的普通 text block；body-only 主线下 regression_check 也必须改成只要求 heading 保留、caption/footnote 不进入抽取","在 json_extractor.py 补空 sub_type body fallback，并同步修正 regression_check.py 的 extractor 预期","done","pytest devtools/tests/translation/test_provider_continuation.py -q；pytest devtools/tests/translation/test_book_translation_policies.py -q；代码审查 extract_text_items 使用点","空 sub_type 的规范化正文块已重新进入抽取；旧的 caption/footnote extractor 预期已收口，不再误报","继续沿使用点巡检 extract_text_items 的旧假设，发现一处改一处","wxyhgk","2026-04-16"
"normalize-mainline","I009","verification-chain","document_schema/regression_check.py 的 fixture registry 写死了失效的相对路径，导致整条回归验证链无法运行","若把 registry 改成基于仓库根目录的稳定路径，并指向当前仓库里真实存在的样本，完整回归链就能恢复","修正 fixtures/registry.py：统一使用 REPO_ROOT 绝对路径，替换失效的 MinerU job 路径，并收口 generic/paddle fixture 路径","done","python3 backend/scripts/devtools/tests/document_schema/regression_check.py --new-document data/jobs/20260416111348-9141bd/ocr/normalized/document.v1.json","完整 regression_check 已跑通，`paddle_extractor_roles` 结果与 body-only 主线一致","后续若 fixture 目录再迁移，需要继续把 registry 保持在仓库内可解析路径，不再依赖历史 output 目录","wxyhgk","2026-04-16"
"normalize-mainline","I010","paddle-cross-column","仅靠单测不足以证明 body repair 在真实书上已命中，需要回到问题样本确认实际拆分结果","若真实样本页 metadata 中出现 body_repair_pair_count>0，且 absorber/peer 文本已分开，就说明 normalize 主线至少在该页落地生效","检查 job 20260416111348-9141bd 的 page 1 normalized metadata 与 repaired blocks","done","读取 data/jobs/20260416111348-9141bd/ocr/normalized/document.v1.json 第 1 页 metadata 与 block metadata","page 1 已命中 1 组 body repair；`p001-b0014` 为 absorber，`p001-b0015` 为 peer，文本已拆开","继续把同类真实样本扩大到更多页和更多 PDF，确认不是单页偶然命中","wxyhgk","2026-04-16"
"normalize-mainline","I011","body-vs-metadata","真实 Paddle 样本第 6 页的 DOI、引用格式、投稿链接等 publisher/promotional tail 被误判成 body，直接进入翻译抽取","若在 extractor 的 page-structure 阶段识别 publisher metadata run，并在最终返回前只保留正文系 structure_role，就能不碰渲染前提下先把非正文误入正文的问题压住","在 json_extractor.py 增加 publisher metadata run 降级；支持长 run 和短 run（如 doi + cite pair），并按 structure_role 过滤最终抽取结果","done","pytest devtools/tests/translation/test_provider_continuation.py -q；pytest devtools/tests/translation/test_book_translation_policies.py -q；python3 backend/scripts/devtools/tests/document_schema/regression_check.py；实样复查 page 6 抽取结果","20260416111348-9141bd 第 6 页原先进入抽取的 doi/cite/submit/url 块已全部消失，且完整回归链仍为绿色","继续扫整本书是否还有类似 metadata/publisher fragments 混入正文，若有就继续定点补 run 规则","wxyhgk","2026-04-16"
"normalize-mainline","I012","metadata-singleton","真实样本第 1 页还残留一个极短的 publisher badge `Open Access` 进入正文抽取，说明长 run/短 run 规则还不够","对强 metadata 词命中的极短 singleton 文本单独降级为 metadata，可以补掉 badge 类碎片而不伤正文句子","在 json_extractor.py 增加 publisher metadata singleton 规则，并补 generic fixture 测试","done","pytest devtools/tests/translation/test_provider_continuation.py -q；python3 backend/scripts/devtools/tests/document_schema/regression_check.py；实样扫描 page1-6 metadata cue 命中数","`20260416111348-9141bd` 第 1 页 `Open Access` 已消失；page1-page6 中 `doi/url/cite/open access/submit manuscript` 残留命中降为 0","继续扫真实样本里过短正文碎片，判断是否还有别的 singleton 误入正文","wxyhgk","2026-04-16"
"normalize-mainline","I013","ancillary-tail-sections","真实样本第 5 页 `Competing interests`、`Authors' contributions`、`Acknowledgments`、`References` 这类文章尾部 section 仍被当作正文 heading/body 抽取","若在 page-structure 阶段把这类已知 ancillary tail heading 以及紧随其后的 body 段统一降级为 metadata，就能继续压缩非正文误入正文的范围","在 json_extractor.py 增加 ancillary tail section 降级规则，并补 generic fixture 测试","done","pytest devtools/tests/translation/test_provider_continuation.py -q；python3 backend/scripts/devtools/tests/document_schema/regression_check.py；实样复查 page 5 抽取结果","真实样本 page 5 现在仅保留正文和 `Conclusions`，尾部 ancillary section 已从抽取结果移除，完整回归仍然绿色","继续扫整本书里是否还残留 article-type badge、publisher phrase、尾部 metadata 之外的非正文误判","wxyhgk","2026-04-16"
"normalize-mainline","I014","front-matter-metadata","真实样本第 1 页作者行仍以 body 误入翻译抽取，说明首页 front matter 还有漏网的非正文元数据","若在 block 级过滤时利用原始 page blocks 上下文识别 `title -> body -> abstract/heading` 夹层，就能定点清掉作者/机构这类首页元数据而不碰正文主链","在 json_extractor.py 增加 front matter block-level 过滤，并补 author-line fixture 测试","done","pytest devtools/tests/translation/test_provider_continuation.py -q；python3 backend/scripts/devtools/tests/document_schema/regression_check.py；实样复查 data/jobs/20260416111348-9141bd 第 1 页 extraction","page 1 作者行已从抽取结果移除；`extractor_new_document` 条目数由 14 降到 13，abstract/keywords/正文保持不变","继续扫真实样本里是否还有机构、email、通讯作者脚注等首页元数据漏进正文主链","wxyhgk","2026-04-16"
"normalize-mainline","I015","keywords-metadata","真实样本第 1 页 `Keywords:` 行仍进入正文抽取，这类关键词行不是当前正文翻译主链的一部分","若把单行 `Keywords:` / `Key words:` 视作 metadata singleton，就能继续压缩 front matter 噪音且不会伤正文段落","在 json_extractor.py 增加 keywords singleton 降级，并补 generic fixture 测试","done","pytest devtools/tests/translation/test_provider_continuation.py -q；python3 backend/scripts/devtools/tests/document_schema/regression_check.py；实样复查 page 1 extraction","`Keywords:` 已从 page 1 extraction 移除；`extractor_new_document` 条目数由 13 降到 12，摘要与 Introduction 后正文保持不变","继续扫首页是否还残留 email、通讯作者脚注、机构行这类 front matter","wxyhgk","2026-04-17"
"normalize-mainline","I016","paddle-normalize-contract","Paddle 的正文修复虽已在 adapter 内执行，但成品 `document.v1` 之前主要只暴露 `provider_*` 诊断字段，后续层仍在直接依赖 provider 私有键","若在 normalize 阶段同步写出 generic block metadata，并让 continuation/translation 优先读 generic 字段，就能把“正文修复、跨栏拆分、抑制 continuation”更明确地前移到 normalize contract","在 paddle block_reader/continuation 中补 generic repair/suppression 字段；translation payload 与 continuation/orchestrator 改成 generic-first 兼容 provider fallback；并重跑真实 job normalize 验证","done","pytest devtools/tests/document_schema/test_paddle_adapter.py -q；pytest devtools/tests/translation/test_provider_continuation.py -q；pytest devtools/tests/translation/test_book_translation_policies.py -q；python3 backend/scripts/devtools/tests/document_schema/regression_check.py；python3 backend/scripts/entrypoints/run_normalize_ocr.py --spec data/jobs/20260416111348-9141bd/specs/normalize.spec.json","真实样本 repaired blocks 现在在 `document.v1` 中同时带有 `body_repair_applied/body_repair_role/body_repair_peer_block_id` 与 `continuation_suppressed/continuation_suppressed_reason`，后续层对 `provider_*` 的硬依赖开始收缩","继续把剩余后续层里直接读取 `provider_*` 的地方逐步替换成 generic-first，最终只把 provider 字段保留为诊断信息","wxyhgk","2026-04-17"
"normalize-mainline","I017","paddle-body-repair-scope","正文修复入口之前虽然要求归一化后是 `text/body`，但还没有把 Paddle 原始 `block_label` 锁死，后续若分类层误判，非正文块仍可能被带进 repair","若把 body repair 候选再收紧为原始 `block_label == text`，就能从源头避免 `paragraph_title`、caption 等非正文块被误修","在 paddle/body_repair.py 中把 `_is_body_candidate` 收紧为 raw label `text` + normalized kind `text/body`，并补伪造 `classified_kinds=body` 的防回归测试","done","pytest devtools/tests/document_schema/test_paddle_adapter.py -q；python3 backend/scripts/devtools/tests/document_schema/regression_check.py","Paddle 正文修复范围已明确限定为原始 `label=text`；即使后续分类误把非 `text` 块标成 body，repair 也不会触发","下一步继续只围绕 `label=text` 的空 bbox 块增强正文候选判定，不让别的类型重新混进来","wxyhgk","2026-04-17"
"normalize-mainline","I018","paddle-empty-slot-shape","即使范围已收紧到 `label=text`，过矮的空文本框仍可能被当成正文空槽，尤其是页脚边或碎片化残框","若把 repair 候选空框再限制为具有正文栏位高度的 `label=text` 空 bbox，就能继续压低误修，同时保留真正的跨栏空槽","在 paddle/body_repair.py 中增加 `MIN_EMPTY_SLOT_HEIGHT` 约束，并补 tiny empty text slot 防回归测试；重跑真实 job normalize 复查第 6 页","done","pytest devtools/tests/document_schema/test_paddle_adapter.py -q；python3 backend/scripts/entrypoints/run_normalize_ocr.py --spec data/jobs/20260416111348-9141bd/specs/normalize.spec.json；实样复查 page 6 metadata","真实样本第 6 页短空框未进入正文修复，`body_repair_pair_count=0`；页 1/3/4/5 的正文 repair 仍保留","下一步继续围绕 `label=text` 空 bbox 的上下文关系增强候选判定，例如正文 heading 邻接、摘要区豁免、跨栏首槽优先等","wxyhgk","2026-04-17"
"normalize-mainline","I019","paddle-area-split","语言层 heuristic 会把 Paddle 正文修复拉向 prompt/句法猜测，这不符合 normalize 主线，也会误伤真实跨栏正文","若把 split 规则收回为 `label=text` 空 bbox + 双栏关系 + 面积比例切分，并只在最近空白处分割，就能让 Paddle repair 回到结构驱动","移除 column carryover 的句法启发式；`_choose_split_index` 仅保留换行/空白候选；重跑 Paddle adapter 测试与真实 job normalize","done","pytest devtools/tests/document_schema/test_paddle_adapter.py -q；python3 backend/scripts/entrypoints/run_normalize_ocr.py --spec data/jobs/20260416111348-9141bd/specs/normalize.spec.json；实样复查 page 1/3/4/5 repaired pairs","真实样本 page 1/3/4/5 的 repair pair 保持存在，当前实现重新回到 `label=text + 空 bbox + 面积比例` 的结构驱动版本，不再依赖句法收尾判断","下一步继续围绕 `label=text` 空 bbox 的结构约束收紧，例如同列正文邻居、heading/abstract 区域边界、表格页排除","wxyhgk","2026-04-17"
"normalize-mainline","I020","paddle-body-flow-context","仅靠 `label=text + 空 bbox + 面积比例` 仍不足以说明空槽处在正文流里，缺少同列正文上下文时仍可能对 metadata 风格空槽产生误修风险","若要求 `column_carryover` 空槽所在列附近必须存在足够长的同列正文块，就能把 carryover 收紧到真正的正文流上下文；无同列正文上下文时保留 `same_band` 结构修复即可","在 paddle/body_repair.py 中为 `column_carryover` 增加 same-column body context 约束，并补 page6 风格短 metadata 邻居防回归测试；更新 continuation 测试样例以匹配真实 page1 结构","done","pytest devtools/tests/document_schema/test_paddle_adapter.py -q；python3 backend/scripts/entrypoints/run_normalize_ocr.py --spec data/jobs/20260416111348-9141bd/specs/normalize.spec.json；实样复查 page1/3/4/5/6 body_repair_pairs","真实样本 page1/3/4/5 repair pair 仍保留，page6 仍为 0；carryover 现在要求同列正文流上下文，结构约束更贴近真实正文页","下一步继续把摘要区和正文区分开，避免 `label=text` 空槽跨到 abstract/body 边界时被误修","wxyhgk","2026-04-17"
"normalize-mainline","I021","paddle-abstract-body-boundary","即使已限制到 `label=text`，如果一页同时存在 `doc_title/abstract/Abstract` 前言结构，摘要后的 `Keywords`、作者行等前言 text 仍可能在 repair 候选里混入正文主线","若把 body repair 的候选起点前移到“第一个真正正文 heading”之后，就能把 abstract/front matter 与正文分开，同时不影响后续正文 repair","在 paddle/body_repair.py 中增加 `body_flow_start_order`；有 front matter 结构时，仅允许第一个非 `Abstract` 的 `paragraph_title` 之后的 `label=text` 参与 repair，并补 front matter 边界防回归测试","done","pytest devtools/tests/document_schema/test_paddle_adapter.py -q；python3 backend/scripts/entrypoints/run_normalize_ocr.py --spec data/jobs/20260416111348-9141bd/specs/normalize.spec.json；实样复查 page1/3/4/5/6 body_repair_pairs","真实样本 page1/4/5 的正文 repair 仍保留，page3 改为更合理的 `same_band` 修复，page6 仍为 0；front matter text 不再进入正文 repair 候选","下一步继续做表格/图页排除，把 `label=text` 但处在 `chart/image/figure_title` 密集页底部的空槽从正文 repair 中剔掉","wxyhgk","2026-04-17"
"normalize-mainline","I022","paddle-json-sci-regression","`json_sci.json` 是更接近真实科技论文的 Paddle 样本，包含公式、图表、表格和多处空 `label=text` 槽；如果不把它固化成回归，后续很容易再次改坏 repair 主线","先不扩规则，先把这个样本里 `label=text` 空槽分布和当前 repair 命中页锁住，就能让后续所有定点修复都围绕同一批真实页推进","在 `test_paddle_adapter.py` 增加 `json_sci.json` 回归：断言空 `text` 槽页为 1/2/3/4/6/9/11/14/15/16，repair 命中页为 1/2/3/4/9/11/14，且 repair pair 的 absorber/peer 都必须是原始 `label=text`","done","pytest backend/scripts/devtools/tests/document_schema/test_paddle_adapter.py -q","`json_sci` 已纳入 normalize 回归台账；当前结构下 10 个空 `text` 槽中 7 个会被 repair，3 个因高度不足被稳定跳过","下一步若继续收紧规则，优先只在 `label=text` 几何条件上做，不把判断重新扩散到翻译层或渲染层","wxyhgk","2026-04-17"
"normalize-mainline","I023","paddle-front-matter-classification","`json_sci` 第 1 页作者行、机构行、`Supporting Information` 这类 front matter 普通 `text` 在 normalize 里被直接标成 `body`，会污染“只翻正文”的主线","若在 Paddle 分类层识别 front matter 页，并把第一个真正正文 heading 之前的原始 `label=text` 降级为 `metadata`，就能把作者/机构/补充材料说明从正文里剥出去，同时保留 abstract 和正文起点","在 `provider_adapters/paddle/relations.py` 增加 `body_flow_start_order`，front matter 页中正文 heading 之前的 `label=text` 统一分类为 `text/metadata`；并补 `json_sci` page1 回归测试","done","pytest backend/scripts/devtools/tests/document_schema/test_paddle_adapter.py -q","`json_sci` page1 的作者行、机构行、`Supporting Information` 现已从 `body` 降为 `metadata`，而 `abstract -> heading -> 正文` 的分类边界保持不变","下一步继续看 Paddle normalize 里是否还有别的前言或尾部 `label=text` 被误标成 `body`，优先继续在分类层前移修正","wxyhgk","2026-04-17"
"normalize-mainline","I024","paddle-provider-native-split","实测新的 Paddle provider 结果在 `mergeLayoutBlocks=false` 下已经原生拆开双栏正文；继续跑旧的 `body_repair` 只会保留历史补锅路径，增加分支复杂度","若 provider 自己声明 `merge_layout_blocks=false`，normalize 应直接信任 provider 分块并跳过 `body_repair`，把主线切回“provider 原始分块 + normalize 分类”","在 `provider_adapters/paddle/page_reader.py` 中检测 `prunedResult.model_settings.merge_layout_blocks`；为 `false` 时直接跳过 `body_repair`。同时用真实 job `20260416111348-9141bd` 的新 provider JSON 替换旧结果并重跑 normalize，确认 `body_repair_pair_count=0`","done","pytest backend/scripts/devtools/tests/document_schema/test_paddle_adapter.py -q；python3 backend/scripts/devtools/tests/document_schema/regression_check.py；重跑 data/jobs/20260416111348-9141bd/specs/normalize.spec.json","新 Paddle 结果下 6 页全部 `merge_layout_blocks=false`、`empty_text=0`、`body_repair_pair_count=0`，旧的跨栏补锅逻辑已不再参与这条主线","下一步继续清理新 Paddle 结果里仍被误标成 `body` 的尾部 metadata 文本，不再把精力放在跨栏 repair 上","wxyhgk","2026-04-17"
"normalize-mainline","I025","paddle-metadata-cues","切到 provider 原生分块后，新的主要噪音不再是空 bbox，而是尾部 metadata/publisher 文本仍以 `label=text` 落成 `body`，例如 `Competing interests`、`funded by`、`Received/Published`、`Cite this article`、`Submit your manuscript`","若在 Paddle 分类层直接识别这类强 metadata cue，并把对应 `text`/`paragraph_title` 前移为 `metadata`，就能继续压缩非正文进入翻译主线的概率，而不需要依赖翻译层 run 规则","在 `provider_adapters/paddle/relations.py` 增加 metadata text cue 和 ancillary tail heading 规则；补 `test_paddle_adapter.py` 回归。复查真实 job page5 可见 `Competing interests` heading 与其后文本都已变成 `metadata`","done","pytest backend/scripts/devtools/tests/document_schema/test_paddle_adapter.py -q","新 Paddle 结果下 page5 的 `Competing interests` heading、声明、funding、received/published 均已从 `body/heading` 收口到 `metadata`；adapter 回归 20 项全绿","下一步继续扫 page6 一类 publisher 尾页残留，若还有漏网文本，继续只在 Paddle 分类层做窄规则前移","wxyhgk","2026-04-17"
